id,name,address,lat,lng,spot_a,base_date,spot_a_sun_start,spot_a_horizon,spot_a_sun_end,spot_b,spot_b_sun_start,spot_b_sun_end,spot_b_horizon,image_url,spot_a_photo_url,spot_b_photo_url,notes,worth_the_trip,cycle_friendly,football_friendly,curated_route_id
Brew_Tavern,Brew Tavern,"Cabman's Shelter, 1A Queen's Rd, Nottingham NG2 3AS",52.94670396149952,-1.146514930610902,Outside seating,2026-06-02,,165:36|199:31|206:17|226:17|227:8|238:9|239:26|255:34|265:45|274:64,,,,,,https://media.drinkinginthesun.com/images/brew-tavern/main-2026-06-03T09-10-46-709Z-img_1920.jpg,https://media.drinkinginthesun.com/images/brew-tavern/spot-a-2026-06-03T09-13-50-356Z-2026_0602_131139.jpg,,"Staff was friendly, attentive & knowledgeable about their job. Plenty os seatings inside and out. Great location right next to train station. Love the selection of craft beers and they keep rotating with new stuff. Reasonable prices",,yes,,
king_william_iv,King William IV,"6 Eyre St, Sneinton, NG2 4RG",52.95314068009756,-1.136785557671749,Terrace on the roof,2026-05-01,09:44,123:31|134:34|148:31|152:18|160:26|178:29|189:24|190:13|216:11|216:29|227:47|228:38|241:46|243:39|255:30|256:24|274:21|291:24,11:36,,,,,https://media.drinkinginthesun.com/images/king-william-iv/main-2026-06-02T10-27-35-943Z-img_1494.jpg,,,"A modern old-fashioned real ale craft pub for traditionalists, students, artists, locals, tourists and musicians. Basically everyone.",,,,
15 minutes' walk from Nottingham Railway Station. Eight cask beers on handpump when I visited,including a stout plus a range of real ciders. Lots of outdoor seating upstairs,"some of it covered. Bikes can be locked on the railing across from the entrance.,no,yes,yes,",,,,,,,,,,,,,,,,,,,
fox_and_grapes,Fox & Grapes,"21 Southwell Rd, NG1 1DL",52.9537402276444,-1.137597245284057,Table on the left side of entrance,2026-04-19,09:13,98:19|112:24|166:38|182:46|185:49|217:54|246:53,11:15,,,,,https://media.drinkinginthesun.com/images/fox-and-grapes/main-2026-06-02T15-55-40-029Z-img_1523.jpg,,,"Great pub with a light, airy feel rather than a dark traditional vibe. Plenty of seating too, with almost as much outside as inside, perfect for summer.",,,,
neon_raptor,Neon Raptor,"Unit 14 Avenue A, Sneinton Market, NG1 1DT",52.95390183720661,-1.1382997134929167,Table on the left side of entrance,2026-04-07,10:00,99:26|123:16|163:16|192:28|220:35|245:30|282:19|290:22,16:30,,,,,https://media.drinkinginthesun.com/images/neon-raptor/main-2026-05-31T19-58-56-734Z-img_1665.jpg,https://media.drinkinginthesun.com/images/neon-raptor/spot-a-2026-05-31T19-58-14-752Z-img_1673.jpg,,"Funky, hipster stuff. Good atmosphere and some unique beers.",,yes,,
liquid_light,Liquid Light,Robin Hood Industrial Est,52.95658823767291,-1.13549462833885,Font Bench,2026-04-25,18:58,126:48|141:40|176:47|217:36|240:24|253:16|266:19|286:9,20:16,,,,,https://media.drinkinginthesun.com/images/liquid-light/main-2026-06-02T15-38-05-472Z-img_1950.jpg,https://media.drinkinginthesun.com/images/liquid-light/main-2026-05-27T18-18-45-521Z-img_1950.jpg,,The fantastic beers and pizza from Da Vinci Dough are a real bonus.,,yes,,
bunkers_hill,Bunkers Hill,"36-38 Hockley, NG1 1FP",52.953644482744046,-1.1400538440138341,Font Bench,2026-08-15,07:07,,11:13,,,,,https://media.drinkinginthesun.com/images/bunkers-hill/main-2026-06-01T14-16-05-260Z-bunkers_hill.jpg,,,"Watch the football on the massive screen. There’s a great selection of craft beers on tap, plus a fridge full of bottles and cans. The staff were really friendly too.",,yes,yes,
lord_roberts,Lord Roberts,"24 Broad St, NG1 3AN",52.95463,-1.14424,Seats on pavement,2026-06-03,11:00,159:16|165:16|166:5|169:5|177:24|190:39|207:36|225:30|240:40|256:42,14:00,,,,132:31|188:37|221:47|232:52|250:31|275:29|296:0,,,,,,,,
lion_at_basford,Lion At Basford,"44 Mosley St, New Basford, NG7 7FQ",52.9717,-1.1717,Large garden area,2026-04-09,09:36,117:28|255:21,17:29,,,,,https://i2-prod.nottinghampost.com/article9356483.ece/ALTERNATES/s1200e/0_JAJ_TEM_190624Lion_008JPG.jpg,,,Lots of real ales. The food is good and very popular.,,,,
trip_to_jerusalem,Trip to Jerusalem,"1 Brewhouse Yard, NG1 6AD",52.9494,-1.1526,Beer Garden,2026-08-15,13:16,,17:35,,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b6fcea50-f327-44a5-a3c1-c52a6c2a8ac3/Nottingham-City-Old+Trip+(16+of+28).jpg,,,,,,,
lincolnshire_poacher,Lincolnshire poacher,"161-163 Mansfield Rd, NG1 3FR",52.9628,-1.1504,Courtyard,2026-08-15,14:27,,17:13,,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/cbb31ce9-9fb0-44c5-af82-91208741bd9a/Pub+patio+awaiting+photo+moment.png?format=1500w,,,,,,,
sir_john_borlase,Sir John Borlase Warren,"1 Ilkeston Rd, Canning Circus, NG7 3GD",52.9567,-1.1611,Terrace at back of pub,2026-08-15,14:49,,17:34,,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/0edfe1e0-31f9-4657-b5d6-24d613b8cb6c/Waiting+for+a+golden+hour+shot.png?format=1000w,,,,,,,
the_angel,The angel,"7 Stoney St, NG1 1LG",52.953505506577685,-1.1434946441793723,Table in front of pub,2026-04-24,15:15,155:31|157:14|164:18|168:33|185:41|193:47|207:45|221:41|231:44|242:28|250:17|257:41|264:55,16:55,,,,,https://media.drinkinginthesun.com/images/the-angel/main-2026-06-02T10-40-01-875Z-img_1613.jpg,,,Cracking real ale/microbrewery pub. Pub food with GF and Vegan options. Quirky rustic decor and an alternative vibe.,,,,
junkyard_and_kilpin,Junkyard/kilpin,"12 Bridlesmith Walk, NG1 2FZ",52.952536363473804,-1.1462279999999998,Down an alley,2026-04-25,12:24,145:38|157:42|156:51|181:56|195:55|196:41|207:39|215:55|228:57|261:32|263:27|272:13|278:14|284:24,14:58,,,,,https://media.drinkinginthesun.com/images/junkyard-and-kilpin/main-2026-06-02T14-13-05-806Z-img_1731-1-.jpg,https://media.drinkinginthesun.com/images/junkyard-and-kilpin/spot-a-2026-06-02T14-13-15-528Z-img_1695.jpg,,"Really cool place, great selection of, mainly Belgian, beers, lambics and ciders. Delicious food menu, the handheld section is especially good value for money. Lots of seating, outside, inside and upstairs.",,,,
pitcher_and_piano,Pitcher and Piano,"High Pavement, NG1 1HN",52.95085452607232,-1.1442232134928778,Terrace at back of pub,2026-05-13,10:09,,18:46,,,,,https://media.drinkinginthesun.com/images/pitcher-and-piano/main-2026-06-03T12-01-50-502Z-img_1204.jpg,https://media.drinkinginthesun.com/images/pitcher-and-piano/spot-a-2026-06-03T12-02-05-170Z-img_1211.jpg,https://media.drinkinginthesun.com/images/pitcher-and-piano/spot-b-2026-06-03T12-02-21-920Z-img_1213.jpg,Lovely seating area to the side of the pub that is just visible from the road. get the sun most of the day.,,,,
navigation,Navigation,"6 Wilford St, NG2 1AA",52.948093869400275,-1.1517495305210694,Canelside Seating,2026-03-19,14:00,104:10|135:23|177:40|234:30|247:21|251:14|264:13|266:8|272:10|282:11,17:01,Wall at the end,14:30,17:32,104:10|135:23|177:40|234:30|247:21|251:14|264:13|266:8|272:10|282:11|290:8,https://media.drinkinginthesun.com/images/navigation/main-2026-06-01T13-12-53-186Z-img_1230.jpg,https://media.drinkinginthesun.com/images/navigation/spot-a-2026-06-01T13-13-21-092Z-img_1656.jpg,https://media.drinkinginthesun.com/images/navigation/spot-b-2026-06-01T13-13-31-358Z-img_1226.jpg,"Lovely quirky, interesting pub. Beautifully decorated and very clean. They have a small outdoor seating area onto the canal and a further courtyard accessed through the pub. The Navigation is dog friendly",,yes,,
the_magic_garden,The magic garden,"24-26 Low Pavement, NG1 7DL",52.95150420922947,-1.1471606358872708,Garden,2026-04-25,12:25,106:26|164:28|180:37|208:34|225:24|243:16|258:17|0:0|270:19|280:32,13:59,,,,,https://media.drinkinginthesun.com/images/the-magic-garden/main-2026-06-02T14-29-08-403Z-img_1733.jpg,https://media.drinkinginthesun.com/images/the-magic-garden/spot-a-2026-06-02T14-30-01-573Z-img_1740.jpg,,"A fantastic space in central Nottingham with a really lovely atmosphere. The staff were very kind, the food was pretty good, and it’s a great place to be when the sun is shining.",,,,
the_roundhouse,Roundhouse,"Royal Standard Place, NG1 6FS",52.95147,-1.15516,Table in front of pub,2026-03-19,11:00,,15:00,,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/342203cf-a281-4ca2-b8d8-7c64c8b449fe/IMG_1244.JPG?format=1500w,,,,,,,
castle_and_fothergills,Castle and Fothergills,"5-7 Castle Rd, NG1 6AA",52.951017843613286,-1.153388246241338,Table in front of pub,2026-03-19,13:00,,16:00,,,,,https://media.drinkinginthesun.com/images/castle-and-fothergills/main-2026-06-02T14-39-47-746Z-img_1239.jpg,https://media.drinkinginthesun.com/images/castle-and-fothergills/spot-a-2026-06-02T14-40-05-913Z-img_1234.jpg,,"A wonderful old pub in an amazing location, with a good selection of local beers and great service.",,yes,,
